username,teacher,date,availability
21YUPLR884S,2M,date,"False,False,False,False,False,True,True,False,False,True,False,True,True,False,False,False,True"
21YJSYW821D,4U,date,"True,False,False,False,True,False,False,True,False,True,True,False,False,True,True,False,False"
21YEWMQ433T,3N,date,"True,False,True,True,True,True,True,False,True,True,False,False,True,True,True,False,False"
21YAOMH716A,1C,date,"False,True,True,False,True,True,False,False,True,True,False,True,False,False,True,True,False"
21YYCOX158W,4K,date,"True,True,False,True,False,False,False,False,False,True,False,True,True,True,True,True,True"
21YNJVZ532H,3Y,date,"True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,True"
21YTNOC764Z,2W,date,"True,False,True,False,False,False,True,False,True,True,False,False,False,False,True,True,True"
21YDIEE563M,4U,date,"True,True,True,True,False,False,True,False,False,True,False,True,False,False,False,True,False"
21YPVYJ471A,3U,date,"True,False,True,False,True,True,True,True,True,False,True,True,False,True,True,False,True"
21YVBMT965N,3C,date,"True,True,False,True,True,False,False,True,True,False,False,False,False,True,True,True,True"
21YPBHT839Z,1V,date,"True,False,True,True,False,False,True,True,True,True,True,False,False,True,False,False,True"
21YFRZO930D,3G,date,"True,True,False,False,False,True,False,False,False,True,False,True,True,True,False,True,False"
21YSAIX814D,2J,date,"False,False,True,True,False,False,True,False,True,True,True,True,False,True,False,True,True"
21YMVBJ354E,1K,date,"True,False,True,True,False,True,True,True,True,False,False,True,False,True,True,True,False"
21YRTCG729I,4O,date,"False,False,True,False,False,False,False,True,True,True,False,True,False,False,False,False,False"
21YLPYD832C,3P,date,"False,False,True,True,True,True,False,False,False,False,False,False,False,True,True,True,False"
21YVXBS198D,2I,date,"True,True,False,True,True,False,True,False,True,True,False,True,True,True,True,False,False"
21YMTFJ755F,4Y,date,"True,False,True,True,False,True,True,False,True,True,True,False,True,False,True,False,False"
21YUBNW926L,3I,date,"True,False,True,True,False,False,False,True,True,False,True,False,True,False,False,True,False"
21YNWVP628V,4Y,date,"False,True,True,False,False,False,True,True,False,False,True,False,True,True,False,False,True"
21YZKZL212T,2E,date,"True,False,True,True,True,True,False,True,False,True,False,False,False,False,False,False,True"
21YSARM606G,2T,date,"False,True,True,False,True,False,True,False,False,False,False,False,True,False,True,True,False"
21YKQKH541R,2G,date,"True,False,True,False,False,False,False,False,True,False,True,False,True,True,False,True,False"
21YCGIE568M,1Z,date,"True,False,False,True,True,False,True,True,True,False,True,True,False,False,True,False,True"
21YWPEP827L,3J,date,"False,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,True"
21YBSDJ754M,3J,date,"True,False,False,False,False,False,True,False,True,False,False,True,True,True,False,True,False"
21YSUSN078R,1E,date,"True,True,True,True,True,False,False,False,True,True,True,False,False,False,True,False,True"
21YTVHH439G,1M,date,"True,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False"
21YYVFE938V,1R,date,"False,False,True,False,True,True,False,False,False,True,False,True,False,True,False,False,False"
21YADQP027E,1A,date,"True,False,False,False,False,True,True,False,False,False,False,False,True,True,True,False,True"
21YRUEY417J,4O,date,"False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,True,False"
21YWBPI232G,1E,date,"True,True,True,True,False,True,False,False,True,True,True,True,False,False,True,True,False"
